RXF393	ACHN	UO-31	NCI-H226	NCI-H322M	UACC-257	SK-MEL-2	A549	UACC-62	HOP 92	EKVX	NCI-H23	HOP 62	HCC2998	HCT-15	COLO 205	SNB-19	SW-620	KM12	HT-29	HCT-116	TK-10	SN12C	HL-60(TB)	CCRF-CEM	786-0	CAKI-1	A498	PC-3	SK-MEL-28	SK-MEL-5	RPMI 8226	SR	K-562	MOLT-4	M14	MDA-MB-435	MALME-3M	LOX-IMVI	SK-OV-3	DU-145	NCI-H460	NCI-H522	IGR-OV1	NCI/ADR-RES	OVCAR-3	OVCAR-8	OVCAR-4	OVCAR-5	SNB-75	U251	HS-578T	BT-549	MDA-MB-231	MCF-7	SF-539	T-47D	SF-268	SF-295
5P_tRNA-Arg-CCG-2-1	5.03695177509598	0	7.82737974959859	0	0	0	6.61833902456961	7.23418355862606	9.14636149078668	9.42552147527877	7.69760680023886	6.86381083939294	0	0	0	7.883751716119	0	0	7.45093022943055	7.03916733219487	0	4.91759004067701	7.37728671045322	5.13822384988898	7.15585588817647	7.70739030096236	7.35954710854795	6.23581040785813	6.66170337091373	0	7.36496673030445	8.71012340868011	0	7.95155127055758	4.10371109298139	6.80143359804273	7.60094228165886	0	6.35747868176145	4.57811043056788	6.56339980873336	7.73515762403445	0	5.84211514838645	6.32508836671681	0	7.32430780939901	0	5.93969591369138	7.18437817176429	10.1182647556953	7.07173482096063	5.90501463176071	6.0386119437437	8.23863201648204	9.0169960967321	0	7.73071229059984	0
5P_tRNA-Arg-CCT-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22907288633415	6.62924385012297	7.8825648716753	8.56333686469879	6.45915233231274	0	0	0	7.37728671045322	5.13822384988898	6.16593747647212	0	5.07233696139624	7.80795417021124	0	0	0	5.99254755862733	0	0	4.10371109298139	6.07306512637432	0	0	0	0	0	7.1535767136812	6.36860958559019	5.26967271959841	0	0	4.50575356268803	0	5.36643797063507	9.34656781362191	9.53395110702568	6.59059136148813	0	6.0386119437437	0	0	8.46181735062127	0	0
5P_tRNA-Arg-CCT-4-1	0	4.52046017369554	6.6134316654015	0	0	0	0	0	0	0	0	6.86381083939294	0	0	0	5.32901250953341	0	0	0	0	0	0	0	0	0	6.13616756143103	0	6.81437777659614	0	0	0	0	0	0	5.06113189702456	4.53033616489921	0	0	0	0	5.57857409814757	0	0	4.30659393045266	0	0	0	0	0	7.76603059564772	0	4.32733222238469	0	4.49688856009548	0	5.24539634012247	0	4.77748974240264	0
5P_tRNA-Arg-TCG-2-1	0	5.48868230967008	6.03581763109874	7.54886163885367	0	0	0	6.24373414406927	9.14636149078668	0	0	6.86381083939294	0	0	0	4.36446404191953	0	0	0	0	0	0	0	0	5.18589173206049	0	0	5.25482745416626	0	0	0	0	0	4.21803789478062	0	0	0	0	0	0	0	0	0	4.30659393045266	0	0	0	7.05314678715914	0	0	0	0	0	4.49688856009548	0	0	0	0	0
5P_tRNA-Arg-TCG-3-1	0	6.79120218346326	7.34449141735992	8.5450042695559	0	0	0	6.24373414406927	8.14890517070181	6.44013337636448	0	7.8576040719598	7.94509529058829	0	0	8.10527124220343	8.87950490593938	9.56142872372977	0	5.47597805369144	7.45151477905579	3.96455184776292	7.37728671045322	0	7.15585588817647	6.13616756143103	8.03432096025106	7.22620704782175	5.67588303692725	0	6.63382391995025	7.39335330739783	7.10923802983866	5.17874726209729	7.34806803899443	4.53033616489921	0	0	0	0	6.56339980873336	7.73515762403445	7.94188520516421	5.84211514838645	6.32508836671681	6.85236133058354	5.47364645335441	8.04770483606769	6.34884533088645	8.98463074915447	10.5329777194826	5.86357111127656	5.90501463176071	7.68648203023909	7.24340051059917	0	8.46181735062127	5.75094576691795	6.16598513312529
5P_tRNA-Arg-TCG-5-1	0	4.52046017369554	7.34449141735992	0	0	0	0	0	8.14890517070181	0	0	0	0	0	0	0	0	8.56333686469879	0	0	0	0	0	0	5.75758210846613	7.12587502747174	6.05073634572099	0	0	0	0	0	0	0	0	0	0	0	0	4.57811043056788	0	7.1535767136812	6.36860958559019	0	0	0	4.90482682323028	0	0	6.19426307751877	8.53589591408849	0	0	0	0	0	0	0	0
5P_tRNA-Arg-TCT-3-2	0	6.06289471499455	6.03581763109874	0	7.34234729775972	0	0	0	8.14890517070181	0	7.69760680023886	7.8576040719598	6.37179380058517	0	0	5.32901250953341	7.8825648716753	7.56714559203522	0	0	7.45151477905579	0	7.37728671045322	7.10716808194791	4.22499087831266	6.13616756143103	5.07233696139624	7.22620704782175	0	0	0	5.4188702324991	0	5.17874726209729	5.06113189702456	5.49877748245473	6.03076628209002	0	6.35747868176145	0	0	0	0	5.26967271959841	0	0	4.90482682323028	0	4.40099245298256	9.17691979038274	9.53395110702568	0	5.90501463176071	6.25786569618989	0	5.24539634012247	0	4.77748974240264	0
5P_tRNA-Arg-TCT-4-1	5.03695177509598	4.52046017369554	6.6134316654015	0	0	0	4.66173299722123	6.24373414406927	0	0	0	0	0	0	0	5.90196156369748	0	0	0	0	0	0	0	0	5.18589173206049	0	5.07233696139624	6.23581040785813	0	0	0	0	0	0	5.63161741850689	0	6.03076628209002	0	0	4.57811043056788	0	0	0	4.30659393045266	6.32508836671681	0	4.50575356268803	0	5.93969591369138	6.19426307751877	0	4.32733222238469	5.90501463176071	0	7.24340051059917	0	0	0	0
5P_tRNA-Asn-GTT-1-1	5.03695177509598	4.52046017369554	6.6134316654015	7.54886163885367	0	0	0	0	0	0	0	6.86381083939294	0	0	0	0	0	0	5.47545728299078	0	0	3.96455184776292	0	0	4.22499087831266	0	6.05073634572099	7.22620704782175	0	5.35886646720255	0	4.45220557534419	0	0	5.06113189702456	0	0	0	0	0	0	0	6.36860958559019	0	0	0	0	0	0	7.18437817176429	0	4.32733222238469	0	3.55941039804023	0	0	0	0	0
5P_tRNA-Asn-GTT-2-1	0	0	0	0	0	0	0	0	8.14890517070181	0	0	6.86381083939294	0	5.79445991364441	0	0	7.8825648716753	0	0	0	0	0	0	5.13822384988898	0	0	5.07233696139624	0	0	0	5.07762795463281	0	7.10923802983866	0	0	0	0	0	0	0	0	6.16367418584061	0	0	0	0	0	0	0	0	8.53589591408849	0	0	4.49688856009548	0	0	7.46590335237683	5.75094576691795	0
