RXF393	ACHN	UO-31	NCI-H226	NCI-H322M	UACC-257	SK-MEL-2	A549	UACC-62	HOP 92	EKVX	NCI-H23	HOP 62	HCC2998	HCT-15	COLO 205	SNB-19	SW-620	KM12	HT-29	HCT-116	TK-10	SN12C	HL-60(TB)	CCRF-CEM	786-0	CAKI-1	A498	PC-3	SK-MEL-28	SK-MEL-5	RPMI 8226	SR	K-562	MOLT-4	M14	MDA-MB-435	MALME-3M	LOX-IMVI	SK-OV-3	DU-145	NCI-H460	NCI-H522	IGR-OV1	NCI/ADR-RES	OVCAR-3	OVCAR-8	OVCAR-4	OVCAR-5	SNB-75	U251	HS-578T	BT-549	MDA-MB-231	MCF-7	SF-539	T-47D	SF-268	SF-295
5P_tRNA-Arg-TCG-3-1	0	6.57486934073074	7.09467447436838	8.28738669178884	0	0	0	5.96396623529933	7.95546851247278	6.28935707873887	0	7.55153122875961	7.82043033900964	0	0	7.92023125083434	8.69515669236099	9.32441103618262	0	5.26461017598867	7.29244348476966	4.00801182344413	7.11546193973144	0	7.07404771534139	5.92527054387858	7.77221622716128	7.00241364119802	5.41052474179241	0	6.38474879779117	7.11681817544262	6.85874638969144	4.96231835315136	7.25113763586779	4.30973516880555	0	0	0	0	6.31611326204071	7.48713363978931	7.74529605497969	5.65002386973591	6.05381034286533	6.60075836562893	5.22814880607827	7.82720720066412	6.17412384931066	8.87443244232253	10.3051754055332	5.68010794583347	5.78837754987883	7.47335166028687	6.98247768824594	0	8.21938349572635	5.48595515757823	6.00969768903902
5P_tRNA-Arg-TCG-5-1	0	4.31224001996388	7.09467447436838	0	0	0	0	0	7.95546851247278	0	0	0	0	0	0	0	0	8.3266596176968	0	0	0	0	0	0	5.67674600445607	6.9133511770585	5.7918798054421	0	0	0	0	0	0	0	0	0	0	0	0	4.37960113048283	0	6.90618616425955	6.17371866225589	0	0	0	4.66230394459321	0	0	6.08540463102311	8.3085921658219	0	0	0	0	0	0	0	0
5P_tRNA-Arg-TCT-3-2	0	5.84795768550529	5.78849286845042	0	7.13551753167803	0	0	0	7.95546851247278	0	7.46050789801765	7.55153122875961	6.2481766851706	0	0	5.14817632009443	7.69863323996027	7.33114629405471	0	0	7.29244348476966	0	7.11546193973144	6.96246360148826	4.14711580717588	5.92527054387858	4.81768782631636	7.00241364119802	0	0	0	5.14766910448229	0	4.96231835315136	4.96660202473128	5.2728952946189	5.80983676516216	0	6.18204847047257	0	0	0	0	5.07935572491309	0	0	4.66230394459321	0	4.23284981887206	9.06669321880511	9.30631522497409	0	5.78837754987883	6.04662966093452	0	5.06728289869606	0	4.51779249008501	0
5P_tRNA-Arg-TCT-4-1	4.82121264224322	4.31224001996388	6.36472854638919	0	0	0	4.44267994849198	5.96396623529933	0	0	0	0	0	0	0	5.71951349201756	0	0	0	0	0	0	0	0	5.10581680291084	0	4.81768782631636	6.01362220174587	0	0	0	0	0	0	5.53610193076937	0	5.80983676516216	0	0	4.37960113048283	0	0	0	4.12140816584521	6.05381034286533	0	4.26613405980777	0	5.76573075878442	6.08540463102311	0	4.15035138968771	5.78837754987883	0	6.98247768824594	0	0	0	0
5P_tRNA-Asn-GTT-1-1	4.82121264224322	4.31224001996388	6.36472854638919	7.29199698403476	0	0	0	0	0	0	0	6.55920099626688	0	0	0	0	0	0	5.31798536054297	0	0	4.00801182344413	0	0	4.14711580717588	0	5.7918798054421	7.00241364119802	0	5.13950719743702	0	4.18780351567234	0	0	4.96660202473128	0	0	0	0	0	0	0	6.17371866225589	0	0	0	0	0	0	7.07474212986077	0	4.15035138968771	0	3.36461945808204	0	0	0	0	0
5P_tRNA-Asn-GTT-2-1	0	0	0	0	0	0	0	0	7.95546851247278	0	0	6.55920099626688	0	5.58533407463231	0	0	7.69863323996027	0	0	0	0	0	0	4.99675723287257	0	0	4.81768782631636	0	0	0	4.83391009524471	0	6.85874638969144	0	0	0	0	0	0	0	0	5.9181646290821	0	0	0	0	0	0	0	0	8.3085921658219	0	0	4.29283117424774	0	0	7.22421593053486	5.48595515757823	0
5P_tRNA-Asn-GTT-2-5	5.79546816424908	0	6.77538275849764	0	0	0	4.44267994849198	5.96396623529933	0	7.28010474521035	0	0	0	0	8.03433015485506	6.44548540669205	0	7.33114629405471	8.09400289069427	6.24572249046456	7.29244348476966	0	0	6.55127701025265	7.39383278887521	5.92527054387858	6.3681360087105	5.03578141366379	0	6.69692252007925	4.83391009524471	4.18780351567234	6.85874638969144	4.00786891984203	7.10018641653304	6.25411647354744	5.80983676516216	0	6.18204847047257	4.37960113048283	7.30703147689651	0	7.16369149159585	0	6.05381034286533	0	4.9727918827142	8.14786421905872	6.75241119845897	6.08540463102311	0	6.40577424719226	0	0	0	8.02913170637546	7.22421593053486	7.91880511605476	7.31812818474936
5P_tRNA-Asn-GTT-6-1	0	5.84795768550529	4.8143610080013	0	7.13551753167803	0	0	0	0	0	0	0	6.2481766851706	0	0	0	0	0	5.31798536054297	5.26461017598867	0	4.00801182344413	7.11546193973144	0	0	0	4.81768782631636	6.59112201281005	5.41052474179241	0	0	0	0	0	0	4.30973516880555	0	0	0	0	0	0	6.17371866225589	6.05786072666311	0	0	4.26613405980777	5.84614017433962	0	0	0	6.40577424719226	0	4.29283117424774	6.98247768824594	5.06728289869606	0	0	0
5P_tRNA-Asp-GTC-2-10	4.82121264224322	4.31224001996388	0	0	0	0	0	0	0	0	0	0	0	0	6.0507454362995	5.14817632009443	0	7.33114629405471	6.29978803667852	0	0	0	0	0	0	0	0	0	5.41052474179241	0	0	0	0	0	0	4.30973516880555	0	12.6556677644527	0	0	0	0	0	5.07935572491309	0	5.61554674226876	0	0	4.23284981887206	0	0	0	0	0	0	0	0	0	0
5P_tRNA-Asp-GTC-2-11	0	6.25671968838299	4.8143610080013	7.29199698403476	0	0	4.44267994849198	0	7.95546851247278	0	0	0	0	5.58533407463231	0	5.71951349201756	0	0	5.31798536054297	5.26461017598867	0	0	0	0	0	0	0	6.59112201281005	0	0	0	0	0	0	6.2605770070975	4.30973516880555	0	0	0	0	0	0	6.17371866225589	5.07935572491309	0	0	0	0	0	6.08540463102311	0	0	0	3.36461945808204	0	5.06728289869606	0	0	5.03191679950609
